,precision,recall,f1-score,support
Airplanes,0.601761252446184,0.615,0.6083086053412463,1000.0
Cars,0.6411042944785276,0.627,0.6339737108190091,1000.0
Birds,0.4088888888888889,0.368,0.3873684210526316,1000.0
Cats,0.3627858627858628,0.349,0.35575942915392456,1000.0
Deer,0.45729166666666665,0.439,0.4479591836734694,1000.0
Dogs,0.4415718717683557,0.427,0.43416370106761565,1000.0
Frogs,0.5382653061224489,0.633,0.5818014705882353,1000.0
Horses,0.5738758029978587,0.536,0.5542916235780765,1000.0
Ships,0.6450676982591876,0.667,0.655850540806293,1000.0
Trucks,0.5641986879100281,0.602,0.5824866956942428,1000.0
accuracy,0.5263,0.5263,0.5263,0.5263
macro avg,0.5234811332324009,0.5263000000000001,0.5241963381774745,10000.0
weighted avg,0.5234811332324009,0.5263,0.5241963381774744,10000.0
